Date,Open,High,Low,Close,Adj Close,Volume
2021-10-22,159.580002,160.470001,159.470001,159.970001,155.721146,3240300
2021-10-25,159.949997,159.949997,158.789993,159.220001,154.991058,3281200
2021-10-26,159.169998,161.399994,159.100006,161.169998,156.889282,3684700
2021-10-27,161.750000,161.839996,159.559998,160.610001,156.344147,3751800
2021-10-28,160.850006,161.729996,160.470001,161.619995,157.327316,3589600
2021-10-29,161.029999,162.259995,160.910004,161.600006,157.307861,4558200
2021-11-01,161.199997,161.500000,160.179993,161.259995,156.976868,3017100
2021-11-02,161.550003,162.809998,160.940002,162.740005,158.417572,3464500
2021-11-03,162.149994,164.389999,162.149994,164.300003,159.936142,3595000
2021-11-04,164.220001,164.559998,163.350006,164.309998,159.945847,3310100
2021-11-05,165.550003,166.429993,164.520004,166.000000,161.590973,3754300
2021-11-08,165.809998,166.100006,161.149994,162.429993,158.115784,5766400
2021-11-09,162.309998,163.860001,162.000000,163.509995,159.167099,3778600
2021-11-10,164.740005,165.000000,163.029999,164.039993,159.683029,2683500
2021-11-11,163.970001,163.979996,162.550003,162.690002,158.368896,2453000
2021-11-12,163.009995,163.929993,162.080002,162.649994,158.329956,3540900
2021-11-15,162.509995,163.880005,162.490005,163.800003,159.449417,3357100
2021-11-16,164.270004,164.990005,163.229996,163.309998,158.972412,2899400
2021-11-17,162.619995,163.669998,162.080002,163.369995,159.030823,3332200
2021-11-18,162.809998,163.520004,161.750000,163.419998,159.079514,3498900
2021-11-19,164.500000,165.029999,163.440002,163.809998,159.459152,5242200
2021-11-22,163.199997,166.800003,163.179993,164.149994,159.790115,4157200
2021-11-23,163.559998,165.720001,163.309998,165.250000,160.860886,3878000
2021-11-24,165.089996,165.500000,162.580002,163.740005,159.391006,3309500
2021-11-26,162.710007,163.660004,160.889999,161.139999,156.860046,3402900
2021-11-29,162.669998,164.580002,161.139999,164.139999,159.780365,5305800
2021-11-30,163.830002,164.000000,158.389999,159.779999,155.536179,7610000
2021-12-01,162.470001,163.250000,160.050003,160.160004,155.906097,5385600
2021-12-02,160.130005,161.690002,159.830002,160.619995,157.410416,4619800
2021-12-03,161.470001,164.880005,161.339996,164.710007,161.418686,6465900
2021-12-06,166.050003,167.289993,165.789993,166.419998,163.094513,5403100
2021-12-07,166.419998,166.960007,165.660004,166.229996,162.908325,5460100
2021-12-08,166.139999,166.690002,164.029999,166.520004,163.192505,3891900
2021-12-09,165.919998,166.880005,164.850006,166.309998,162.986710,3644500
2021-12-10,167.539993,169.119995,166.899994,168.970001,165.593567,5025700
2021-12-13,168.929993,171.259995,168.050003,169.809998,166.416779,5411800
2021-12-14,169.350006,170.389999,168.300003,169.389999,166.005173,4985000
2021-12-15,169.770004,171.779999,169.460007,171.570007,168.141617,5507800
2021-12-16,171.570007,173.559998,171.020004,171.820007,168.386627,6909900
2021-12-17,171.110001,172.380005,168.050003,168.300003,164.936951,10159600
2021-12-20,167.160004,169.500000,166.750000,169.419998,166.034576,5263600
2021-12-21,169.229996,169.600006,167.779999,168.919998,165.544556,3401400
2021-12-22,168.960007,169.990005,168.270004,169.970001,166.573578,4362900
2021-12-23,169.979996,170.630005,169.250000,169.779999,166.387360,3241700
